,Municipios,Latitude,Longitude,Limitrofes,Populacao,2010,2011,2012,2013,2014,2015
40,Maricá,-22.9196772,-42.8184375,"Itaboraí,Niterói,Saquarema,São Gonçalo,Tanguá,Rio Bonito",167668,173,2170,514,1810,73,109
41,Mendes,-22.5269113,-43.7332604,"Barra do Piraí,Engenheiro Paulo de Frontin,Paracambi,Piraí,,Vassouras",18681,3,296,4,1113,43,502
42,Mesquita,-22.783092,-43.4293599,"Belford Roxo,Nilópolis,São João de Meriti,Rio de Janeiro,Nova Iguaçu",177016,63,1167,754,107,10,41
43,Miguel Pereira,-22.4539417,-43.4691978,"Duque de Caxias,Engenheiro Paulo de Frontin,Japeri,Nova Iguaçu,Paracambi,Paty do Alferes,Petrópolis,Vassouras",25622,2,35,11,28,2,1
44,Miracema,-21.4123651,-42.1965147,"Laje do Muriaé,Itaperuna,São José de Ubá,Santo Antônio de Pádua",27134,7,23,18,729,1,296
45,Natividade,-21.040694,-41.9817534,"Bom Jesus do Itabapoana,Itaperuna,Porciúncula,Varre-Sai",15305,337,16,13,155,6,510
46,Nilópolis,-22.8080114,-43.4138222,"Mesquita,São João de Meriti,Rio de Janeiro",162893,49,1153,868,94,9,86
47,Niterói,-22.8832371,-43.1154552,"São Gonçalo,Maricá,Rio de Janeiro",516981,1447,5392,6646,12050,375,636
48,Nova Friburgo,-22.2800004,-42.5325303,"Bom Jardim,Cachoeiras de Macacu,Casimiro de Abreu,Duas Barras,Macaé,Silva Jardim,Sumidouro,Teresópolis,Trajano de Moraes",191664,31,930,33,781,8,100
49,Nova Iguaçu,-22.7592175,-43.4508728,"Miguel Pereira,Duque de Caxias,Belford Roxo,Mesquita,Rio de Janeiro,Seropédica,Queimados,Japeri",825388,304,3389,2646,738,109,380
50,Paracambi,-22.6109158,-43.7096912,"Engenheiro Paulo de Frontin,Itaguaí,Japeri,Mendes,Miguel Pereira,Seropédica,Piraí",53093,1,613,6,334,11,9
51,Paraíba do Sul,-22.1636384,-43.2916915,"Areal,Comendador Levy Gasparian,Paty do Alferes,Petrópolis,Rio das Flores,Três Rios,Vassouras",44741,3,284,8,409,5,80
52,Paraty,-23.2196461,-44.7154196,Angra dos Reis,44175,203,64,43,132,43,349
53,Paty do Alferes,-22.4272703,-43.4219523,"Miguel Pereira,Paraíba do Sul,Petrópolis,Vassouras",27942,1,36,13,95,3,13
54,Petrópolis,-22.5075743,-43.1785356,"Areal,Duque de Caxias,Guapimirim,Magé,Miguel Pereira,Paraíba do Sul,Paty do Alferes,São José do Vale do Rio Preto,Teresópolis",307144,15,333,29,227,15,217
55,Pinheiral,-22.5129436,-44.001435,"Barra do Piraí,Piraí,Volta Redonda",25563,2,337,29,345,8,206
56,Piraí,-22.6287489,-43.8981758,"Barra do Piraí,Barra Mansa,Itaguaí,Mendes,Paracambi,Pinheiral,Rio Claro,Volta Redonda",29802,4,54,79,172,50,821
57,Porciúncula,-20.9627278,-42.0405703,"Natividade,Guaçuí,Caiana",19068,548,69,5,383,1,145
58,Porto Real,-22.4198366,-44.2897974,"Barra Mansa,Quatis,Resende",20254,0,37,2,66,6,1953
